sequence_index,sample,bag_offset_sec_trace_only,timestamp_ns_trace_only,phase,ready,path_valid,synthetic_y1,gt_w1_mean_x_ratio,selected_w1_mean_x_ratio,w1_abs_error_ratio,w1_observed_span_line_mae_ratio,gt_y1_mean_x_ratio,selected_y1_mean_x_ratio,y1_abs_error_ratio,y1_observed_span_line_mae_ratio,white_candidate_count,yellow_candidate_count,status
1,0011.060s,11.060082892,1786345382225999029,W1_LOCKED,1,1,1,0.19709134527615138,0.20624999999999996,0.00915865472384858,0.017470894575713138,,,,,41,2,W1 locked; synthetic Y1 width; W2/Y2 ignored
2,0012.868s,12.868102446,1786345384034018583,W1_LOCKED,1,1,1,0.13951494012560164,0.14596354166666656,0.006448601541064913,0.019891735315490676,,,,,60,2,W1 locked; synthetic Y1 width; W2/Y2 ignored
3,0012.905s,12.904668257,1786345384070584394,W1_LOCKED,1,1,1,0.13394551404884883,0.09157131223978361,0.04237420180906522,0.030455457442975096,,,,,33,2,W1 locked; synthetic Y1 width; W2/Y2 ignored
4,0013.004s,13.003908726,1786345384169824863,W1_LOCKED,1,1,1,0.13022376809801375,0.07191033713988855,0.058313430958125204,0.031763759214198446,,,,,44,2,W1 locked; synthetic Y1 width; W2/Y2 ignored
5,0013.072s,13.072102506,1786345384238018643,W1_LOCKED,1,1,1,0.11720741930462063,0.11219516910132032,0.005012250203300303,0.011309447920752981,,,,,54,3,W1 locked; synthetic Y1 width; W2/Y2 ignored
6,0013.172s,13.172067986,1786345384337984123,W1_LOCKED,1,1,1,0.11520520704133168,0.11875000000000027,0.003544792958668594,0.017657204324520167,,,,,50,3,W1 locked; synthetic Y1 width; W2/Y2 ignored
7,0013.240s,13.240021656,1786345384405937793,W1_LOCKED,1,1,1,0.14972439621176037,0.14423558179765728,0.005488814414103094,0.005416611380396038,,,,,46,3,W1 locked; synthetic Y1 width; W2/Y2 ignored
8,0013.340s,13.339905004,1786345384505821141,W1_LOCKED,1,1,1,0.10265275623117169,0.10670874595943847,0.004055989728266776,0.003825219046972319,,,,,53,3,W1 locked; synthetic Y1 width; W2/Y2 ignored
9,0013.440s,13.440015263,1786345384605931400,W1_LOCKED,1,1,1,0.09637655743530815,0.09676096766696105,0.000384410231652893,0.003683873795694727,,,,,47,3,W1 locked; synthetic Y1 width; W2/Y2 ignored
10,0013.540s,13.540013079,1786345384705929216,W1_LOCKED,1,1,1,0.07597880491188594,0.07405089446823077,0.001927910443655173,0.00515242265536563,,,,,49,2,W1 locked; synthetic Y1 width; W2/Y2 ignored
11,0013.676s,13.675845619,1786345384841761756,W1_LOCKED,1,1,1,0.09809895072664535,0.08261160489555452,0.01548734583109082,0.005402498082939908,,,,,38,2,W1 locked; synthetic Y1 width; W2/Y2 ignored
12,0013.808s,13.80801546,1786345384973931597,W1_LOCKED,1,1,1,0.1062034900699343,0.11726481614792554,0.011061326077991235,0.007725899944138149,,,,,56,2,W1 locked; synthetic Y1 width; W2/Y2 ignored
13,0013.908s,13.907941478,1786345385073857615,W1_LOCKED,1,1,1,0.10620355393205368,0.1194802897453772,0.013276735813323517,0.0154009500211502,0.3655528096216065,,,,49,5,W1 locked; synthetic Y1 width; W2/Y2 ignored
14,0013.976s,13.975969735,1786345385141885872,Y1_LOCKED,1,1,0,0.1305174593414579,0.16410615059945285,0.03358869125799496,0.0068186761398986145,0.3696051218679973,0.3673117613459077,0.002293360522089616,0.0011691720822963947,59,5,W1/Y1 pair tracked; W2/Y2 ignored
15,0014.108s,14.108205781,1786345385274121918,PAIR_TRACK,1,1,0,0.14064831180231913,0.14813177025612148,0.007483458453802355,0.00951758842690011,0.410128361412457,0.4049165500970428,0.005211811315414205,0.004403563545261769,58,3,W1/Y1 pair tracked; W2/Y2 ignored
16,0014.344s,14.344004772,1786345385509920909,PAIR_TRACK,1,1,0,0.18725005430834632,0.1949139835858586,0.007663929277512277,0.0038198940522759435,0.44457297559295383,0.4519882810285568,0.007415305435602981,0.003990119049778176,37,8,W1/Y1 pair tracked; W2/Y2 ignored
17,0014.480s,14.480005483,1786345385645921620,PAIR_TRACK,1,1,0,0.20953768917492455,0.190625,0.018912689174924557,0.001321708926531864,0.4871222279034555,0.49090398047021233,0.0037817525667568352,0.0037275952744410088,40,4,W1/Y1 pair tracked; W2/Y2 ignored
18,0014.780s,14.779853796,1786345385945769933,PAIR_TRACK,1,1,0,0.16698845582348956,0.1769565424625351,0.009968086639045526,0.01407144266368641,0.5013052406055587,0.5009265447719142,0.00037869583364447124,0.0019407514364509467,35,3,W1/Y1 pair tracked; W2/Y2 ignored
19,0014.812s,14.811910095,1786345385977826232,PAIR_TRACK,1,1,0,0.16496228107384273,0.1477873189860357,0.017174962087807027,0.01563462811406548,0.5094099146580058,0.5022488265071692,0.007161088150836603,0.010011728394228696,35,2,W1/Y1 pair tracked; W2/Y2 ignored
20,0014.916s,14.916163408,1786345386082079545,PAIR_TRACK,1,1,0,0.16698843453611645,0.145128983391911,0.021859451144205455,0.010114987764551383,0.531697510608605,0.5091717032896582,0.022525807318946822,0.01490559529059555,31,2,W1/Y1 pair tracked; W2/Y2 ignored
21,0015.016s,15.015957705,1786345386181873842,PAIR_TRACK,1,1,0,0.14672676154545372,0.1294140944939338,0.01731266705151993,0.01807551788708186,0.5134620506183377,0.5057879876541881,0.0076740629641496305,0.0067652837867000735,37,2,W1/Y1 pair tracked; W2/Y2 ignored
22,0015.116s,15.11601488,1786345386281931017,PAIR_TRACK,1,1,0,0.12646517370428353,0.1356830505460455,0.00921787684176198,0.01154319026541663,0.5073835400066206,0.5018368726912925,0.005546667315328047,0.004322542138166199,29,2,W1/Y1 pair tracked; W2/Y2 ignored
23,0015.248s,15.247943625,1786345386413859762,PAIR_TRACK,1,1,0,0.11228202496256144,0.12456362821651332,0.012281603253951875,0.010860259997167462,0.4384943146391639,0.43871938767322566,0.00022507303406177348,0.00411371692885701,32,3,W1/Y1 pair tracked; W2/Y2 ignored
24,0015.352s,15.352063893,1786345386517980030,PAIR_TRACK,1,1,0,0.10595989865916114,0.10176230113182375,0.004197597527337393,0.008790453851874592,0.3693615623882839,0.4186077126047679,0.04924615021648404,0.00019934555896897933,22,3,W1/Y1 pair tracked; W2/Y2 ignored
25,0015.452s,15.45194095,1786345386617857087,PAIR_TRACK,1,1,0,0.11203838033335546,0.07047895090628539,0.04155942942707007,0.007128727086695452,0.3815185470240457,0.37108109273549383,0.010437454288551862,0.010185252929163759,29,2,W1/Y1 pair tracked; W2/Y2 ignored
26,0015.584s,15.584015382,1786345386749931519,PAIR_TRACK,1,1,0,0.10393377712794712,0.07741286768078473,0.026520909447162386,0.0077749179539946724,0.40178003907203674,0.39441764369356214,0.007362395378474607,0.009654609752931533,26,2,W1/Y1 pair tracked; W2/Y2 ignored
27,0015.684s,15.683908432,1786345386849824569,PAIR_TRACK,1,1,0,0.1140645657266889,0.10243522323395408,0.011629342492734812,0.0026003707203650275,0.4220415603901658,0.4088150172693544,0.013226543120811451,0.0066651370136261824,25,2,W1/Y1 pair tracked; W2/Y2 ignored
28,0015.852s,15.85210833,1786345387018024467,PAIR_TRACK,1,1,0,0.12824770382472445,0.1345348771148541,0.0062871732901296495,0.005398391661148091,0.43419848781611237,0.46310875419477043,0.028910266378658067,0.007686693856004803,14,4,W1/Y1 pair tracked; W2/Y2 ignored
29,0015.952s,15.951852338,1786345387117768475,PAIR_TRACK,1,1,0,0.16877089015075136,0.17101196837134536,0.002241078220593995,0.004134226572787985,0.47877385450660115,0.4771604195518708,0.001613434954730375,0.00858227070685371,13,2,W1/Y1 pair tracked; W2/Y2 ignored
30,0016.052s,16.052024049,1786345387217940186,PAIR_TRACK,1,1,0,0.1728232396500451,0.17449895509092314,0.0016757154408780506,0.004852803204829089,0.4929570326847689,0.48915693842859387,0.0038000942561750573,0.0076058934872000284,20,2,W1/Y1 pair tracked; W2/Y2 ignored
31,0016.156s,16.156009103,1786345387321925240,PAIR_TRACK,1,1,0,0.15661403323922835,0.14421518961371554,0.012398843625512801,0.00334735979408877,0.503087714846645,0.5074091210312158,0.004321406184570775,0.006412928761996366,17,2,W1/Y1 pair tracked; W2/Y2 ignored
32,0016.288s,16.287993996,1786345387453910133,PAIR_TRACK,1,1,0,0.1505356580018997,0.1506554486236738,0.00011979062177411293,0.006292011140219183,0.5172709141458784,0.5169356507078021,0.0003352634380763275,0.003965957586756337,22,2,W1/Y1 pair tracked; W2/Y2 ignored
33,0016.456s,16.455881704,1786345387621797841,PAIR_TRACK,1,1,0,0.13432661124638148,0.11521168938169768,0.019114921864683804,0.015129319783822454,0.5598201115748712,0.5534472164071877,0.006372895167683468,0.01079539876247209,32,2,W1/Y1 pair tracked; W2/Y2 ignored
34,0016.556s,16.556029808,1786345387721945945,PAIR_TRACK,1,1,0,0.17484962727342332,0.1700180754772253,0.004831551796198014,0.003019717083480773,0.5030878053179809,0.5565251741225419,0.05343736880456096,0.024655800630114688,28,3,W1/Y1 pair tracked; W2/Y2 ignored
35,0016.656s,16.65598229,1786345387821898427,PAIR_TRACK,1,1,0,0.1343266644648143,0.14363058052105537,0.009303916056241063,0.009294305483423061,0.5030878319271973,0.5643285480920713,0.06124071616487403,0.017881610264356935,31,3,W1/Y1 pair tracked; W2/Y2 ignored
36,0016.756s,16.756128578,1786345387922044715,PAIR_TRACK,1,1,0,0.1323004684277943,0.1344074321553494,0.002106963727555089,0.008016908284265236,0.5071401282080582,0.5641327644177017,0.056992636209643455,0.016106225065984556,40,3,W1/Y1 pair tracked; W2/Y2 ignored
37,0017.024s,17.024016533,1786345388189932670,PAIR_TRACK,1,1,0,0.11609116622379848,0.12485572601458768,0.008764559790789203,0.007336483843636974,0.5010616545166289,0.4658328699049708,0.03522878461165807,0.011067158137704656,38,3,W1/Y1 pair tracked; W2/Y2 ignored
38,0017.192s,17.191991955,1786345388357908092,PAIR_TRACK,1,1,0,0.1019080600568226,0.1441488563149945,0.0422407962581719,0.006865090938364311,0.4281200726649591,0.4280609283823512,5.9144282607892507e-05,0.0015423245548591721,30,3,W1/Y1 pair tracked; W2/Y2 ignored
39,0017.328s,17.327857934,1786345388493774071,PAIR_TRACK,1,1,0,0.11203874221869874,0.1372970806396779,0.025258338420979173,0.009917348467187516,0.4504077316461397,0.43741529310985056,0.01299243853628912,0.01641584573384937,23,3,W1/Y1 pair tracked; W2/Y2 ignored
40,0017.664s,17.664290117,1786345388830206254,PAIR_TRACK,1,1,0,0.0654371380805969,0.09893070350828537,0.03349356542768847,0.017374652833600252,0.4483813598219837,0.44406348098102083,0.004317878840962852,0.0038506593259817297,19,2,W1/Y1 pair tracked; W2/Y2 ignored
41,0017.796s,17.795969386,1786345388961885523,PAIR_TRACK,1,1,0,0.06948961530412945,0.07207756927630604,0.002587953972176593,0.018435940201090226,0.4605382919045431,0.44931645904535467,0.01122183285918843,0.011001230778900858,19,2,W1/Y1 pair tracked; W2/Y2 ignored
42,0017.964s,17.964033502,1786345389129949639,PAIR_TRACK,1,1,0,0.07759423979691094,0.09142048943593042,0.013826249639019489,0.007664697287946303,0.42204145927514347,0.42115358844153417,0.0008878708336093055,0.011286556053285681,32,3,W1/Y1 pair tracked; W2/Y2 ignored
43,0018.100s,18.099903457,1786345389265819594,PAIR_TRACK,1,1,0,0.12419585457869937,0.11539341431125197,0.008802440267447406,0.017305836025199563,0.43419836358433317,0.43156873413285296,0.0026296294514802088,0.01062761776621724,35,3,W1/Y1 pair tracked; W2/Y2 ignored
44,0018.232s,18.231943028,1786345389397859165,PAIR_TRACK,1,1,0,0.12824833180223189,0.10576628795902906,0.02248204384320282,0.008586420989827677,0.43419849280534045,0.39087619029199827,0.04332230251334218,0.019101490841727773,32,3,W1/Y1 pair tracked; W2/Y2 ignored
45,0018.432s,18.432002677,1786345389597918814,PAIR_TRACK,1,1,0,0.11406519370419636,0.10732027658142891,0.006744917122767452,0.020686184880620313,0.40583239921501707,0.3993376447481869,0.006494754466830177,0.004981074986548178,33,2,W1/Y1 pair tracked; W2/Y2 ignored
46,0018.600s,18.599833874,1786345389765750011,PAIR_TRACK,1,1,0,0.12419598230293818,0.12559001898492447,0.0013940366819862882,0.012879142349295152,0.4179892135517938,0.41599113424727835,0.0019980793045154543,0.002886661343816825,28,2,W1/Y1 pair tracked; W2/Y2 ignored
47,0018.768s,18.767875501,1786345389933791638,PAIR_TRACK,1,1,0,0.1079866268805095,0.128413391154147,0.020426764273637488,0.015185109129051973,0.4240676180592605,0.4175793788020499,0.006488239257210593,0.005465302612815611,45,2,W1/Y1 pair tracked; W2/Y2 ignored
48,0018.968s,18.968029919,1786345390133946056,PAIR_TRACK,1,1,0,0.12419593972819191,0.11112781658610996,0.013068123142081958,0.00589635734803878,0.4240674025246075,0.42167070444285326,0.002396698081754245,0.0035985652885253913,31,2,W1/Y1 pair tracked; W2/Y2 ignored
49,0019.136s,19.135910768,1786345390301826905,PAIR_TRACK,1,1,0,0.12014365409101757,0.12484090589216104,0.0046972518011434705,0.011380461620937922,0.4281196256301233,0.424386569210191,0.003733056419932268,0.0034862838181823775,41,2,W1/Y1 pair tracked; W2/Y2 ignored
50,0019.304s,19.303850214,1786345390469766351,PAIR_TRACK,1,1,0,0.14445759143148149,0.09681219000821215,0.04764540142326934,0.014209781290760825,0.4281198145555598,0.4219519351654248,0.006167879390135023,0.0062066360956337255,39,3,W1/Y1 pair tracked; W2/Y2 ignored
51,0019.440s,19.440032631,1786345390605948768,PAIR_TRACK,1,1,0,0.146483872617994,0.15569918175179137,0.009215309133797367,0.02155629381566613,0.42811974004975384,0.4553051467506414,0.027185406700887538,0.01082649149104892,44,3,W1/Y1 pair tracked; W2/Y2 ignored
52,0019.572s,19.571974631,1786345390737890768,PAIR_TRACK,1,1,0,0.1768762171268463,0.19086709149870842,0.013990874371862111,0.013562121637531007,0.44432927375393255,0.4412012419120277,0.0031280318419048547,0.003807625069598762,38,3,W1/Y1 pair tracked; W2/Y2 ignored
53,0019.708s,19.707953324,1786345390873869461,CRUISE_HANDOFF,1,1,0,0.22347785319600785,0.2165206439881747,0.006957209207833159,0.005766184628859089,0.4747217599568623,0.4834024578593358,0.0086806979024735,0.002208414938304939,37,3,W1/Y1 aligned with vehicle forward axis; cruise handoff
54,0019.876s,19.876014989,1786345391041931126,CRUISE_HANDOFF,1,1,0,0.2558964788913727,0.2546090329049097,0.001287445986462965,0.003666132098765838,0.5010615660409842,0.48921345376618036,0.011848112274803813,0.0018877949396818672,31,2,W1/Y1 pair tracked; W2/Y2 ignored
55,0020.008s,20.007990998,1786345391173907135,CRUISE_HANDOFF,1,1,0,0.28021055459976196,0.2833120136510396,0.003101459051277622,0.011433556158394967,0.5192975365955914,0.5197457770481291,0.00044824045253766265,0.005550454671380687,28,2,W1/Y1 pair tracked; W2/Y2 ignored
