index,time_sec,white_line_count,white_pair,yellow,white_components,yellow_components,white_spacing_m,yellow_center_offset_m,failure_score
0,0.000000,1,0,0,1,0,,,7.000
1,0.076761,1,0,0,1,0,,,7.000
2,0.119382,1,0,0,1,0,,,7.000
3,0.160590,1,0,0,2,0,,,7.000
4,0.200385,1,0,0,1,0,,,7.000
5,0.226568,1,0,0,1,0,,,7.000
6,0.264205,1,0,0,1,0,,,7.000
7,0.305643,1,0,0,1,0,,,7.000
8,0.337059,1,0,0,1,0,,,7.000
9,0.379364,1,0,0,1,0,,,7.000
10,0.423910,1,0,0,2,0,,,7.000
11,0.456909,1,0,0,2,0,,,7.000
12,0.500409,1,0,0,1,0,,,7.000
13,0.553693,1,0,0,2,0,,,7.000
14,0.596870,1,0,0,2,0,,,7.000
15,0.639897,1,0,0,2,0,,,7.000
16,0.689321,1,0,0,1,0,,,7.000
17,0.736636,1,0,0,1,0,,,7.000
18,0.781831,2,1,0,2,0,0.489453125,,6.000
19,0.813198,1,0,0,1,0,,,7.000
20,0.869180,1,0,0,1,0,,,7.000
21,0.903566,1,0,0,1,0,,,7.000
22,0.944369,1,0,0,1,0,,,7.000
23,0.976504,1,0,0,1,0,,,7.000
24,1.022161,1,0,0,1,0,,,7.000
25,1.066003,1,0,0,2,0,,,7.000
26,1.105316,1,0,0,2,0,,,7.000
27,1.147575,1,0,0,1,0,,,7.000
28,1.183029,1,0,0,1,0,,,7.000
29,1.212751,1,0,0,1,0,,,7.000
30,1.259132,1,0,0,1,0,,,7.000
31,1.298710,1,0,1,1,2,,,4.000
32,1.332487,1,0,1,1,2,,,4.000
33,1.379067,1,0,1,1,2,,,4.000
34,1.424651,1,0,1,1,2,,,4.000
35,1.466924,1,0,1,1,2,,,4.000
36,1.498021,1,0,1,1,2,,,4.000
37,1.541092,1,0,1,1,2,,,4.000
38,1.573119,1,0,1,1,2,,,4.000
39,1.617037,1,0,1,1,2,,,4.000
40,1.655444,1,0,1,1,2,,,4.000
41,1.690716,1,0,1,1,2,,,4.000
42,1.736487,1,0,1,1,2,,,4.000
43,1.794668,1,0,1,1,2,,,4.000
44,1.844462,1,0,1,1,2,,,4.000
45,1.889220,1,0,1,1,2,,,4.000
46,1.933165,1,0,1,1,2,,,4.000
47,1.978822,1,0,1,1,2,,,4.000
48,2.025780,1,0,1,1,2,,,4.000
49,2.068449,1,0,1,1,2,,,4.000
50,2.113101,1,0,1,1,2,,,4.000
51,2.147659,1,0,1,1,2,,,4.000
52,2.191880,1,0,1,1,1,,,4.000
53,2.271670,1,0,1,1,1,,,4.000
54,2.309298,1,0,1,1,2,,,4.000
55,2.371743,1,0,1,1,2,,,4.000
56,2.406660,1,0,1,1,1,,,4.000
57,2.451128,2,1,1,2,1,1.0499999999999998,,2.825
58,2.496980,2,1,1,2,2,1.0513671875,0.031445312499999996,2.842
59,2.531469,2,1,1,2,2,1.0431640624999998,0.024609375,2.740
60,2.581010,2,1,1,2,2,1.06640625,0.026660156249999997,3.000
61,2.617957,2,1,1,2,2,0.965234375,0.030078124999999997,1.765
62,2.652882,2,1,1,2,2,0.9761718749999999,0.030078124999999997,1.902
63,2.692721,2,1,1,2,2,0.984375,0.02734375,2.005
64,2.747166,2,1,1,2,2,0.9953124999999999,0.02734375,2.141
65,2.797886,2,1,1,2,2,1.00078125,0.0287109375,2.210
66,2.845462,2,1,1,2,2,1.0076171875,0.029394531249999998,2.295
67,2.894551,2,1,1,2,2,1.0171875,0.030078124999999997,2.415
68,2.953846,2,1,1,2,2,1.0185546875,0.030078124999999997,2.432
69,2.988287,2,1,1,2,2,1.028125,0.0287109375,2.552
70,3.033552,2,1,1,2,2,1.030859375,0.02734375,2.586
71,3.081525,2,1,1,2,2,1.025390625,0.0341796875,2.517
72,3.113492,2,1,1,2,2,1.02265625,0.0341796875,2.483
