index,time_sec,white_line_count,white_pair,yellow,white_components,yellow_components,white_spacing_m,yellow_center_offset_m,failure_score
0,0.000000,0,0,0,0,0,,,9.000
1,0.045720,0,0,0,0,0,,,9.000
2,0.091681,0,0,0,0,0,,,9.000
3,0.130774,0,0,0,0,0,,,9.000
4,0.211063,0,0,0,0,0,,,9.000
5,0.292066,1,0,1,2,1,,,4.000
6,0.318249,1,0,1,2,1,,,4.000
7,0.397324,1,0,1,1,1,,,4.000
8,0.428740,1,0,1,1,1,,,4.000
9,0.471045,2,1,1,2,1,0.49218749999999994,0.26796875,3.000
10,0.548591,2,1,1,2,1,0.489453125,0.26523437499999997,3.000
11,0.645375,1,0,1,1,1,,,4.000
12,0.688552,1,0,1,2,1,,,4.000
13,0.731578,1,0,1,1,1,,,4.000
14,0.828318,1,0,1,1,1,,,4.000
15,0.904879,1,0,1,1,1,,,4.000
16,0.960861,1,0,1,1,1,,,4.000
17,0.995247,2,1,1,2,1,0.489453125,0.26796875,3.000
18,1.036050,1,0,1,1,1,,,4.000
19,1.068186,2,1,1,4,1,0.48671875,0.2666015625,3.000
20,1.196997,2,1,1,2,1,0.489453125,0.26796875,3.000
21,1.239256,1,0,1,1,1,,,4.000
22,1.304432,1,0,1,1,1,,,4.000
23,1.350813,2,1,1,2,1,0.48398437499999997,0.2666015625,3.000
24,1.424168,1,0,1,1,1,,,4.000
25,1.516332,1,0,1,1,1,,,4.000
26,1.632773,1,0,0,1,0,,,7.000
27,1.664801,1,0,0,1,0,,,7.000
28,1.708718,1,0,0,1,0,,,7.000
29,1.747125,1,0,0,1,0,,,7.000
30,1.886349,1,0,1,2,1,,,4.000
31,1.936143,1,0,1,2,1,,,4.000
32,2.024846,1,0,1,2,1,,,4.000
33,2.070503,1,0,1,4,1,,,4.500
34,2.117461,1,0,1,4,1,,,4.500
35,2.160131,1,0,1,10,1,,,6.000
36,2.204782,1,0,1,9,1,,,6.000
37,2.283562,1,0,1,9,1,,,6.000
38,2.363351,1,0,1,9,1,,,6.000
39,2.400979,1,0,1,5,1,,,5.500
40,2.463425,1,0,1,6,1,,,5.500
41,2.498341,1,0,1,3,1,,,4.500
42,2.623151,1,0,1,1,1,,,4.000
43,2.672691,1,0,1,2,1,,,4.000
44,2.744563,1,0,1,2,1,,,4.000
45,2.838847,1,0,1,1,1,,,4.000
46,2.889568,1,0,1,1,1,,,4.000
47,2.937144,1,0,1,2,1,,,4.000
48,2.986233,1,0,1,2,1,,,4.000
49,3.079968,1,0,1,2,1,,,4.000
50,3.125234,1,0,1,2,1,,,4.000
51,3.173206,1,0,1,2,1,,,4.000
52,3.292317,1,0,1,2,1,,,4.000
53,3.336602,1,0,1,1,1,,,4.000
54,3.380617,1,0,1,2,1,,,4.000
55,3.419092,1,0,1,1,1,,,4.000
56,3.466217,1,0,1,1,1,,,4.000
57,3.545751,1,0,1,1,1,,,4.000
58,3.633197,1,0,1,1,1,,,4.000
59,3.710234,1,0,0,1,0,,,7.000
60,3.749057,1,0,0,1,0,,,7.000
61,3.785024,1,0,0,1,0,,,7.000
62,3.858776,1,0,0,1,0,,,7.000
63,3.915540,1,0,0,1,0,,,7.000
64,3.966688,1,0,0,1,0,,,7.000
65,3.996629,1,0,0,1,0,,,7.000
